UPC1 UPC2 06 19 077 18165       -15.3310       -14.8581       -15.1450       -15.1334       -15.6216         0.0000         0.0000        70.3560       -32.1630        33.4700       -66.8960 
UPC1 UPC2 06 19 077 18170       -15.3870       -14.8548       -15.1410       -15.1308       -15.6178         0.0000         0.0000        70.3840       -32.0900        33.4990       -66.8700 
UPC1 UPC2 06 19 077 18175       -15.1830       -14.8487       -14.8780       -15.1252       -15.6138         0.0000         0.0000        70.4120       -32.0160        33.5290       -66.8440 
UPC1 UPC2 06 19 077 18180       -15.0660       -14.8473       -15.0530       -15.1244       -15.6100         0.0000        -0.0000        70.4400       -31.9420        33.5580       -66.8180 
UPC1 UPC2 06 19 077 18185       -15.0460       -14.8395       -15.4430       -15.1166       -15.6061         0.0000        -0.0000        70.4680       -31.8680        33.5880       -66.7910 
UPC1 UPC2 06 19 077 18190       -15.2560       -14.8353       -15.2940       -15.1129       -15.6021         0.0000        -0.0000        70.4960       -31.7940        33.6170       -66.7650 
UPC1 UPC2 06 19 077 18195       -15.1740       -14.8317       -15.5480       -15.1105       -15.5983         0.0000        -0.0000        70.5240       -31.7200        33.6470       -66.7390 
UPC1 UPC2 06 19 077 18200       -15.1740       -14.8274       -15.8680       -15.1074       -15.5944         0.0000        -0.0000        70.5520       -31.6450        33.6760       -66.7130 
UPC1 UPC2 06 19 077 18205       -15.1090       -14.8247       -16.1250       -15.1059       -15.5903         0.0000        -0.0000        70.5800       -31.5710        33.7060       -66.6870 
UPC1 UPC2 06 19 077 18210       -15.3760       -14.8236       -16.4670       -15.1051       -15.5864         0.0000        -0.0000        70.6080       -31.4960        33.7350       -66.6600 
UPC1 UPC2 06 19 077 18215       -15.7070       -14.8142       -16.0510       -15.0958       -15.5825         0.0000         0.0000        70.6360       -31.4210        33.7650       -66.6340 
UPC1 UPC2 06 19 077 18220       -16.1920       -14.8161       -16.1480       -15.0980       -15.5786         0.0000        -0.0000        70.6640       -31.3460        33.7940       -66.6080 
UPC1 UPC2 06 19 077 18225       -16.3910       -14.8123       -15.8440       -15.0932       -15.5744         0.0000         0.0000        70.6920       -31.2710        33.8240       -66.5820 
UPC1 UPC2 06 19 077 18230       -16.3630       -14.8079       -15.8600       -15.0870       -15.5705         0.0000        -0.0000        70.7200       -31.1950        33.8540       -66.5550 
UPC1 UPC2 06 19 077 18235       -15.9880       -14.8042       -15.6420       -15.0817       -15.5666         0.0000        -0.0000        70.7480       -31.1200        33.8830       -66.5290 
UPC1 UPC2 06 19 077 18240       -15.8560       -14.8010       -15.3710       -15.0769       -15.5626         0.0000        -0.0000        70.7750       -31.0440        33.9130       -66.5030 
UPC1 UPC2 06 19 077 18245       -15.5350       -14.7969       -15.3550       -15.0717       -15.5584         0.0000        -0.0000        70.8030       -30.9680        33.9420       -66.4770 
UPC1 UPC2 06 19 077 18250       -15.5310       -14.7919       -15.2370       -15.0658       -15.5543         0.0000         0.0000        70.8310       -30.8920        33.9720       -66.4510 
UPC1 UPC2 06 19 077 18255       -15.3020       -14.7870       -14.8240       -15.0609       -15.5503         0.0000        -0.0000        70.8590       -30.8160        34.0020       -66.4240 
UPC1 UPC2 06 19 077 18260       -15.1010       -14.7826       -15.0430       -15.0573       -15.5462         0.0000        -0.0000        70.8870       -30.7400        34.0310       -66.3980 
UPC1 UPC2 06 19 077 18265       -15.2970       -14.7791       -14.9440       -15.0544       -15.5422         0.0000         0.0000        70.9150       -30.6630        34.0610       -66.3720 
UPC1 UPC2 06 19 077 18270       -15.3390       -14.7745       -14.9490       -15.0500       -15.5380         0.0000        -0.0000        70.9420       -30.5870        34.0900       -66.3460 
UPC1 UPC2 06 19 077 18275       -15.3690       -14.7717       -14.8990       -15.0475       -15.5339         0.0000         0.0000        70.9700       -30.5100        34.1200       -66.3190 
UPC1 UPC2 06 19 077 18280       -15.2650       -14.7702       -14.6620       -15.0458       -15.5299         0.0000         0.0000        70.9980       -30.4330        34.1500       -66.2930 
UPC1 UPC2 06 19 077 18285       -15.3380       -14.7647       -14.7190       -15.0402       -15.5257         0.0000        -0.0000        71.0260       -30.3560        34.1790       -66.2670 
UPC1 UPC2 06 19 077 18290       -15.0970       -14.7584       -14.7530       -15.0333       -15.5215         0.0000         0.0000        71.0540       -30.2780        34.2090       -66.2410 
UPC1 UPC2 06 19 077 18295       -14.9420       -14.7555       -14.6440       -15.0304       -15.5174         0.0000        -0.0000        71.0810       -30.2010        34.2390       -66.2150 
UPC1 UPC2 06 19 077 18300       -14.6310       -14.7498       -14.6840       -15.0251       -15.5132         0.0000        -0.0000        71.1090       -30.1230        34.2680       -66.1880 
UPC1 UPC2 06 19 077 18305       -14.5520       -14.7460       -14.7730       -15.0214       -15.5090         0.0000        -0.0000        71.1370       -30.0460        34.2980       -66.1620 
UPC1 UPC2 06 19 077 18310       -14.5890       -14.7404       -14.7840       -15.0165       -15.5049         0.0000        -0.0000        71.1640       -29.9680        34.3270       -66.1360 
UPC1 UPC2 06 19 077 18315       -14.6520       -14.7360       -14.7790       -15.0134       -15.5007         0.0000        -0.0000        71.1920       -29.8890        34.3570       -66.1100 
UPC1 UPC2 06 19 077 18320       -14.9150       -14.7316       -14.7580       -15.0093       -15.4964         0.0000        -0.0000        71.2200       -29.8110        34.3870       -66.0830 
UPC1 UPC2 06 19 077 18325       -15.2450       -14.7285       -14.6030       -15.0064       -15.4921         0.0000        -0.0000        71.2480       -29.7330        34.4160       -66.0570 
UPC1 UPC2 06 19 077 18330       -15.2640       -14.7247       -14.6150       -15.0031       -15.4881         0.0000        -0.0000        71.2750       -29.6540        34.4460       -66.0310 
UPC1 UPC2 06 19 077 18335       -15.5350       -14.7183       -14.4760       -14.9964       -15.4837         0.0000        -0.0000        71.3030       -29.5750        34.4760       -66.0050 
UPC1 UPC2 06 19 077 18340       -15.4940       -14.7174       -14.5610       -14.9952       -15.4794         0.0000        -0.0000        71.3300       -29.4960        34.5060       -65.9780 
UPC1 UPC2 06 19 077 18345       -15.6000       -14.7116       -14.5460       -14.9907       -15.4751         0.0000        -0.0000        71.3580       -29.4170        34.5350       -65.9520 
UPC1 UPC2 06 19 077 18350       -15.3670       -14.7074       -14.3930       -14.9864       -15.4709         0.0000        -0.0000        71.3860       -29.3380        34.5650       -65.9260 
UPC1 UPC2 06 19 077 18355       -15.5890       -14.7035       -14.0360       -14.9840       -15.4665         0.0000         0.0000        71.4130       -29.2580        34.5950       -65.9000 
UPC1 UPC2 06 19 077 18360       -15.7790       -14.7009       -13.9140       -14.9814       -15.4624         0.0000        -0.0000        71.4410       -29.1790        34.6240       -65.8730 
UPC1 UPC2 06 19 077 18365       -15.5920       -14.6939       -13.9670       -14.9737       -15.4579         0.0000        -0.0000        71.4680       -29.0990        34.6540       -65.8470 
UPC1 UPC2 06 19 077 18370       -15.3920       -14.6891       -14.1990       -14.9686       -15.4536         0.0000        -0.0000        71.4960       -29.0190        34.6840       -65.8210 
UPC1 UPC2 06 19 077 18375       -15.4040       -14.6859       -14.4620       -14.9647       -15.4492         0.0000        -0.0000        71.5230       -28.9390        34.7130       -65.7950 
UPC1 UPC2 06 19 077 18380       -15.5600       -14.6789       -14.5480       -14.9572       -15.4449         0.0000        -0.0000        71.5510       -28.8580        34.7430       -65.7690 
UPC1 UPC2 06 19 077 18385       -15.4450       -14.6803       -14.5690       -14.9587       -15.4406         0.0000        -0.0000        71.5780       -28.7780        34.7730       -65.7420 
UPC1 UPC2 06 19 077 18390       -15.4380       -14.6661       -14.7160       -14.9446       -15.4362         0.0000        -0.0000        71.6060       -28.6970        34.8030       -65.7160 
UPC1 UPC2 06 19 077 18395       -15.3800       -14.6686       -14.5520       -14.9472       -15.4318         0.0000        -0.0000        71.6330       -28.6160        34.8320       -65.6900 
UPC1 UPC2 06 19 077 18400       -15.2820       -14.6608       -14.7010       -14.9396       -15.4274         0.0000        -0.0000        71.6610       -28.5350        34.8620       -65.6640 
UPC1 UPC2 06 19 077 18405       -15.6430       -14.6566       -14.6520       -14.9345       -15.4229         0.0000        -0.0000        71.6880       -28.4540        34.8920       -65.6370 
UPC1 UPC2 06 19 077 18410       -15.9670       -14.6593       -14.5270       -14.9357       -15.4185         0.0000        -0.0000        71.7160       -28.3730        34.9220       -65.6110 
UPC1 UPC2 06 19 077 18415       -16.0760       -14.6530       -14.4580       -14.9286       -15.4142         0.0000        -0.0000        71.7430       -28.2910        34.9510       -65.5850 
UPC1 UPC2 06 19 077 18420       -16.3180       -14.6469       -14.9270       -14.9217       -15.4097         0.0000         0.0000        71.7700       -28.2090        34.9810       -65.5590 
UPC1 UPC2 06 19 077 18425       -16.2300       -14.6421       -14.8730       -14.9159       -15.4052         0.0000        -0.0000        71.7980       -28.1270        35.0110       -65.5320 
UPC1 UPC2 06 19 077 18430       -16.0210       -14.6374       -14.6050       -14.9117       -15.4008         0.0000         0.0000        71.8250       -28.0450        35.0410       -65.5060 
UPC1 UPC2 06 19 077 18435       -16.0110       -14.6325       -14.7400       -14.9076       -15.3963         0.0000        -0.0000        71.8520       -27.9630        35.0710       -65.4800 
UPC1 UPC2 06 19 077 18440       -16.2630       -14.6278       -14.6220       -14.9025       -15.3918         0.0000        -0.0000        71.8800       -27.8800        35.1000       -65.4540 
UPC1 UPC2 06 19 077 18445       -16.0730       -14.6224       -14.4450       -14.8970       -15.3873         0.0000        -0.0000        71.9070       -27.7970        35.1300       -65.4270 
UPC1 UPC2 06 19 077 18450       -15.9610       -14.6219       -14.3240       -14.8968       -15.3827         0.0000         0.0000        71.9340       -27.7150        35.1600       -65.4010 
UPC1 UPC2 06 19 077 18455       -15.9000       -14.6165       -14.4540       -14.8914       -15.3782         0.0000        -0.0000        71.9620       -27.6310        35.1900       -65.3750 
UPC1 UPC2 06 19 077 18460       -15.6040       -14.6115       -14.7570       -14.8856       -15.3737         0.0000        -0.0000        71.9890       -27.5480        35.2200       -65.3490 
UPC1 UPC2 06 19 077 18465       -15.6350       -14.6090       -14.7190       -14.8823       -15.3692         0.0000        -0.0000        72.0160       -27.4650        35.2490       -65.3220 
UPC1 UPC2 06 19 077 18470       -15.4420       -14.6035       -15.0040       -14.8758       -15.3645         0.0000         0.0000        72.0430       -27.3810        35.2790       -65.2960 
UPC1 UPC2 06 19 077 18475       -15.2560       -14.5980       -15.0010       -14.8687       -15.3601         0.0000         0.0000        72.0710       -27.2970        35.3090       -65.2700 
UPC1 UPC2 06 19 077 18480       -15.0910       -14.5941       -14.8000       -14.8644       -15.3554         0.0000         0.0000        72.0980       -27.2130        35.3390       -65.2440 
UPC1 UPC2 06 19 077 18485       -15.0110       -14.5880       -14.8200       -14.8579       -15.3508         0.0000        -0.0000        72.1250       -27.1290        35.3690       -65.2170 
UPC1 UPC2 06 19 077 18490       -14.9720       -14.5834       -15.0660       -14.8534       -15.3463         0.0000        -0.0000        72.1520       -27.0450        35.3990       -65.1910 
UPC1 UPC2 06 19 077 18495       -15.0970       -14.5796       -15.5340       -14.8482       -15.3415         0.0000         0.0000        72.1790       -26.9600        35.4280       -65.1650 
UPC1 UPC2 06 19 077 18500       -15.1430       -14.5761       -15.7930       -14.8448       -15.3370         0.0000        -0.0000        72.2060       -26.8750        35.4580       -65.1390 
UPC1 UPC2 06 19 077 18505       -15.1100       -14.5717       -15.6950       -14.8402       -15.3323         0.0000        -0.0000        72.2330       -26.7900        35.4880       -65.1120 
UPC1 UPC2 06 19 077 18510       -15.2960       -14.5645       -15.6720       -14.8329       -15.3276         0.0000        -0.0000        72.2610       -26.7050        35.5180       -65.0860 
UPC1 UPC2 06 19 077 18515       -15.4230       -14.5601       -15.5020       -14.8304       -15.3230         0.0000        -0.0000        72.2880       -26.6190        35.5480       -65.0600 
UPC1 UPC2 06 19 077 18520       -15.3540       -14.5563       -15.4290       -14.8274       -15.3183         0.0000        -0.0000        72.3150       -26.5340        35.5780       -65.0340 
UPC1 UPC2 06 19 077 18525       -15.5860       -14.5506       -15.3240       -14.8216       -15.3136         0.0000         0.0000        72.3420       -26.4480        35.6080       -65.0070 
UPC1 UPC2 06 19 077 18530       -15.6830       -14.5470       -15.2310       -14.8179       -15.3090         0.0000        -0.0000        72.3690       -26.3620        35.6380       -64.9810 
UPC1 UPC2 06 19 077 18535       -15.9130       -14.5430       -15.3340       -14.8147       -15.3042         0.0000         0.0000        72.3960       -26.2760        35.6670       -64.9550 
UPC1 UPC2 06 19 077 18540       -16.0310       -14.5403       -15.3200       -14.8124       -15.2995         0.0000        -0.0000        72.4230       -26.1900        35.6970       -64.9290 
UPC1 UPC2 06 19 077 18545       -16.2820       -14.5331       -15.5050       -14.8055       -15.2948         0.0000        -0.0000        72.4500       -26.1030        35.7270       -64.9020 
UPC1 UPC2 06 19 077 18550       -16.2000       -14.5296       -15.3410       -14.8024       -15.2901         0.0000        -0.0000        72.4770       -26.0160        35.7570       -64.8760 
UPC1 UPC2 06 19 077 18555       -15.9520       -14.5221       -15.3390       -14.7957       -15.2852         0.0000         0.0000        72.5040       -25.9290        35.7870       -64.8500 
UPC1 UPC2 06 19 077 18560       -15.7940       -14.5194       -15.1250       -14.7940       -15.2806         0.0000        -0.0000        72.5300       -25.8420        35.8170       -64.8240 
UPC1 UPC2 06 19 077 18565       -15.6220       -14.5131       -15.1450       -14.7878       -15.2758         0.0000        -0.0000        72.5570       -25.7550        35.8470       -64.7970 
UPC1 UPC2 06 19 077 18570       -15.6990       -14.5101       -14.9130       -14.7848       -15.2710         0.0000        -0.0000        72.5840       -25.6670        35.8770       -64.7710 
UPC1 UPC2 06 19 077 18575       -15.7780       -14.5005       -15.0460       -14.7757       -15.2661         0.0000         0.0000        72.6110       -25.5790        35.9070       -64.7450 
UPC1 UPC2 06 19 077 18580       -15.6520       -14.4981       -14.9920       -14.7730       -15.2613         0.0000         0.0000        72.6380       -25.4910        35.9370       -64.7190 
UPC1 UPC2 06 19 077 18585       -15.6050       -14.4982       -14.8300       -14.7731       -15.2565         0.0000         0.0000        72.6650       -25.4030        35.9670       -64.6920 
UPC1 UPC2 06 19 077 18590       -15.7050       -14.4888       -14.9560       -14.7632       -15.2517         0.0000        -0.0000        72.6910       -25.3140        35.9970       -64.6660 
UPC1 UPC2 06 19 077 18595       -15.4970       -14.4842       -14.8860       -14.7576       -15.2470         0.0000        -0.0000        72.7180       -25.2260        36.0270       -64.6400 
UPC1 UPC2 06 19 077 18600       -15.3820       -14.4788       -14.4800       -14.7511       -15.2419         0.0000         0.0000        72.7450       -25.1370        36.0570       -64.6140 
UPC1 UPC2 06 19 077 18605       -15.2430       -14.4749       -14.5280       -14.7471       -15.2371         0.0000        -0.0000        72.7720       -25.0480        36.0870       -64.5870 
UPC1 UPC2 06 19 077 18610       -15.2430       -14.4720       -14.6260       -14.7444       -15.2323         0.0000        -0.0000        72.7980       -24.9580        36.1170       -64.5610 
UPC1 UPC2 06 19 077 18615       -15.5090       -14.4679       -14.8020       -14.7393       -15.2273         0.0000         0.0000        72.8250       -24.8690        36.1470       -64.5350 
UPC1 UPC2 06 19 077 18620       -15.6660       -14.4638       -14.7290       -14.7344       -15.2225         0.0000         0.0000        72.8520       -24.7790        36.1770       -64.5080 
UPC1 UPC2 06 19 077 18625       -15.6680       -14.4604       -14.6470       -14.7310       -15.2174         0.0000        -0.0000        72.8780       -24.6890        36.2070       -64.4820 
UPC1 UPC2 06 19 077 18630       -15.2290       -14.4507       -14.6590       -14.7204       -15.2126         0.0000        -0.0000        72.9050       -24.5990        36.2370       -64.4560 
UPC1 UPC2 06 19 077 18635       -14.9600       -14.4471       -14.8050       -14.7159       -15.2077         0.0000         0.0000        72.9320       -24.5090        36.2670       -64.4300 
UPC1 UPC2 06 19 077 18640       -14.9460       -14.4425       -14.8330       -14.7106       -15.2028         0.0000        -0.0000        72.9580       -24.4180        36.2970       -64.4030 
