UPC1 22 077 18020.00 22103153.5540 22103153.3113 22103152.6300 22103152.3820 21781977.6109 3.38686 2.03564 44.462 131.907
UPC1 6 077 18020.00 20821888.3190 20821888.2564 20821889.7350 20821889.7114 20653579.7626 2.53431 1.58875 69.538 -34.234
UPC1 18 077 18020.00 22533877.2790 22533877.7211 22533877.9670 22533877.9415 22176512.0908 3.54749 2.11343 41.958 79.904
UPC1 3 077 18020.00 20836692.1910 20836692.1146 20836693.6990 20836693.3904 20621338.3230 2.78479 1.72587 58.477 -51.038
UPC1 19 077 18025.00 22889804.8880 22889804.6724 22889804.2750 22889804.1795 22510237.1601 4.39158 2.48848 32.645 -67.631
UPC1 7 077 18025.00 24772224.2650 24772224.7818 24772224.8300 24772224.6594 24399751.0208 10.65177 3.94611 12.629 -47.214
UPC1 16 077 18025.00 21274457.8790 21274457.7517 21274458.7580 21274458.6573 20885872.0684 2.67201 1.66471 62.686 177.255
UPC1 24 077 18025.00 23689342.4610 23689342.3581 23689345.2530 23689345.1822 23397776.0488 5.65502 2.94921 24.706 52.014
UPC1 21 077 18025.00 22968629.4460 22968629.3794 22968630.0360 22968629.9331 22581496.0618 4.14315 2.38393 34.890 53.345
UPC1 22 077 18025.00 22100146.3030 22100146.0183 22100145.2730 22100145.0895 21780170.8876 3.38513 2.03479 44.491 131.867
UPC1 6 077 18025.00 20819877.8700 20819877.8780 20819879.2620 20819879.3331 20652769.9436 2.53384 1.58849 69.566 -34.165
UPC1 18 077 18025.00 22532859.3280 22532859.9025 22532860.1600 22532860.1232 22176694.8484 3.54767 2.11351 41.955 79.855
UPC1 3 077 18025.00 20834022.8940 20834022.9214 20834024.5530 20834024.1977 20619869.7056 2.78376 1.72532 58.512 -51.006
UPC1 19 077 18030.00 22886335.9150 22886335.5194 22886335.2100 22886335.0268 22507968.5294 4.38809 2.48705 32.675 -67.604
UPC1 7 077 18030.00 24770317.9880 24770318.3523 24770318.6400 24770318.2301 24399045.1256 10.64680 3.94554 12.635 -47.248
UPC1 16 077 18030.00 21274958.4930 21274958.2724 21274959.3240 21274959.1779 20887573.1064 2.67302 1.66527 62.644 177.244
UPC1 24 077 18030.00 23691147.7850 23691147.7290 23691150.5970 23691150.5521 23400781.9350 5.66187 2.95140 24.674 52.023
UPC1 21 077 18030.00 22969761.0940 22969761.0353 22969761.6870 22969761.5881 22583828.2308 4.14659 2.38541 34.856 53.352
UPC1 22 077 18030.00 22097141.4310 22097141.1566 22097140.4840 22097140.2284 21778366.5433 3.38341 2.03394 44.519 131.828
UPC1 6 077 18030.00 20817868.8200 20817868.9273 20817870.3600 20817870.3825 20651961.5013 2.53338 1.58823 69.594 -34.095
UPC1 18 077 18030.00 22531844.3360 22531844.9440 22531845.1460 22531845.1645 22176880.4183 3.54785 2.11360 41.953 79.805
UPC1 3 077 18030.00 20831355.2980 20831355.3938 20831356.9220 20831356.6707 20618402.7096 2.78274 1.72477 58.546 -50.974
UPC1 19 077 18035.00 22882867.5590 22882867.0897 22882866.7930 22882866.5973 22505700.5825 4.38461 2.48562 32.704 -67.578
UPC1 7 077 18035.00 24768414.4850 24768414.8854 24768415.3370 24768414.7637 24398342.1460 10.64187 3.94497 12.641 -47.282
UPC1 16 077 18035.00 21275461.5050 21275461.3806 21275462.3510 21275462.2859 20889276.6894 2.67404 1.66582 62.602 177.232
UPC1 24 077 18035.00 23692953.7210 23692953.6279 23692956.6600 23692956.4480 23403788.3131 5.66874 2.95360 24.642 52.031
UPC1 21 077 18035.00 22970893.7460 22970893.6375 22970894.2620 22970894.1896 22586161.3050 4.15004 2.38690 34.823 53.359
UPC1 22 077 18035.00 22094138.9220 22094138.7185 22094137.9750 22094137.7911 21776564.5800 3.38169 2.03310 44.548 131.788
UPC1 6 077 18035.00 20815861.2240 20815861.3839 20815862.8030 20815862.8395 20651154.4363 2.53291 1.58797 69.623 -34.026
UPC1 18 077 18035.00 22530832.2100 22530832.8342 22530833.0530 22530833.0548 22177068.8005 3.54804 2.11369 41.950 79.755
